Date/Time,DistrictHeating:Facility [J](Daily),DistrictCooling:Facility [J](Daily),Electricity:Facility [J](Daily),DistrictHeating:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),Electricity:Facility [J](Monthly),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),Electricity:Facility [J](RunPeriod) 
 01/01,2048416717.6772,0.0,374180539.898225 
 01/02,2011386308.17953,0.0,370956303.537002 
 01/03,2077355208.8344,0.0,372751755.350588 
 01/04,2052166911.57259,0.0,383825957.945206 
 01/05,1834962453.20809,0.0,383809015.573381 
 01/06,1509694578.67432,0.0,369737980.194079 
 01/07,1651283914.91034,0.0,382799762.911507 
 01/08,1126222337.75674,0.0,377216917.765963 
 01/09,1047140053.62758,0.0,382171687.594485 
 01/10,1181616575.57661,0.0,382824108.094146 
 01/11,1488374549.17853,0.0,369040314.86456 
 01/12,1555194564.72057,0.0,370390855.372312 
 01/13,1443802358.1348,0.0,381895791.604931 
 01/14,1112784703.17551,0.0,381834072.536386 
 01/15,1197351595.35669,0.0,382594968.726635 
 01/16,961582712.607325,0.0,383204806.761056 
 01/17,1394611781.388,0.0,383346275.667934 
 01/18,1386408661.64274,0.0,366655345.699286 
 01/19,1680601480.12087,0.0,382664759.390731 
 01/20,1574978940.63741,0.0,376423788.429835 
 01/21,1559861900.3737,0.0,382007721.549955 
 01/22,1570456457.85455,0.0,378851349.44668 
 01/23,1364293932.41686,0.0,369627237.936746 
 01/24,1425302944.13393,0.0,380542739.056137 
 01/25,1939515249.32405,0.0,382748098.318978 
 01/26,2005026184.35682,0.0,380312188.402406 
 01/27,2184335555.53301,0.0,382582083.492242 
 01/28,1499003167.51131,0.0,380117852.571842 
 01/29,1404961096.44034,0.0,380225584.829593 
 01/30,1593446790.89669,0.0,360378557.931382 
 01/31,1150611278.25496,0.0,382349065.837294,48032750964.076,0.0,11718067487.2917 
 02/01,1976393747.20813,0.0,364386213.471323 
 02/02,1982394277.41558,0.0,382060454.111051 
 02/03,1522942000.23664,0.0,367746072.920904 
 02/04,1497594158.12714,0.0,375360429.556916 
 02/05,981954167.795449,0.0,379689151.282966 
 02/06,736515801.22948,0.0,373317651.097611 
 02/07,1102350407.71013,0.0,379002849.046565 
 02/08,903115525.265332,0.0,379675772.294369 
 02/09,1030578228.99364,0.0,381416258.180582 
 02/10,1105627818.10606,0.0,373740149.599399 
 02/11,1399246916.63001,0.0,376763145.731123 
 02/12,1596817142.85039,0.0,380037271.778861 
 02/13,1748023157.14966,0.0,376402466.384083 
 02/14,1742897761.57412,0.0,374754622.623103 
 02/15,1577152267.86255,0.0,350797893.52564 
 02/16,1821968400.29657,0.0,376304952.520549 
 02/17,1788243373.92119,0.0,362091664.490487 
 02/18,1591003707.65098,0.0,349790376.447271 
 02/19,1486955734.96982,0.0,347486837.764525 
 02/20,1545671711.33791,0.0,349052363.282476 
 02/21,1615199944.41148,0.0,375013851.194324 
 02/22,1389906567.50745,0.0,375367254.84796 
 02/23,1613057371.15517,0.0,378854604.189554 
 02/24,1743696111.44977,0.0,374459495.436761 
 02/25,1870142860.2402,0.0,369196945.837989 
 02/26,1720240616.47113,0.0,379246257.884587 
 02/27,856338764.043085,0.0,373823980.673763 
 02/28,658515520.071881,0.0,356573047.095435,40604544061.681,0.0,10382412033.2703 
 03/01,1255641778.31929,0.0,367083207.710714 
 03/02,1448697845.55304,0.0,378950279.385046 
 03/03,1630747761.2029,0.0,379087876.002974 
 03/04,1630417371.95681,0.0,374123512.007184 
 03/05,1088911612.98792,0.0,372915323.958251 
 03/06,1054509440.2376,0.0,371666120.774444 
 03/07,1255391847.56003,0.0,378020168.080936 
 03/08,1218534068.74452,0.0,374705232.546974 
 03/09,1197319553.78606,0.0,340848554.244448 
 03/10,1378286531.72822,0.0,376261181.168853 
 03/11,1037326790.49195,0.0,360616127.916074 
 03/12,834771031.309296,0.0,359215995.892424 
 03/13,485492257.824207,0.0,348785580.539334 
 03/14,399708477.687361,0.0,359083449.11177 
 03/15,348161195.624178,0.0,343824667.34193 
 03/16,252447148.714045,0.0,373937757.606963 
 03/17,228748529.59726,0.0,369297815.803651 
 03/18,347532473.240976,0.0,365761151.887544 
 03/19,589535111.743951,0.0,338576998.425188 
 03/20,503292410.146456,0.0,357504875.162849 
 03/21,453051083.147304,0.0,368884231.370902 
 03/22,695529285.742998,0.0,361628369.442495 
 03/23,764151858.352633,0.0,338312045.968781 
 03/24,688602167.096217,0.0,344003200.098971 
 03/25,797062581.948394,0.0,348443684.911482 
 03/26,944749996.920443,0.0,334647917.430413 
 03/27,883679310.991969,0.0,355561587.159765 
 03/28,959208382.975375,0.0,371994356.526045 
 03/29,887597971.954464,0.0,368489234.857702 
 03/30,573477802.608114,0.0,371496110.217602 
 03/31,802277796.456406,0.0,361763168.213346,26634861476.6505,0.0,11215489781.7652 
 04/01,453318822.939496,0.0,364526537.838577 
 04/02,453313477.77069,0.0,372606484.120127 
 04/03,599079592.520816,0.0,337159603.416854 
 04/04,680642077.290639,0.0,362151025.518372 
 04/05,639716824.226692,0.0,350443189.002745 
 04/06,770361037.309401,0.0,366859027.460538 
 04/07,512370944.052084,0.0,334167885.349017 
 04/08,443632026.506316,0.0,356279576.60334 
 04/09,392494050.306615,0.0,351448291.096701 
 04/10,235783435.033054,0.0,372700323.050316 
 04/11,137585722.716909,0.0,364084407.699372 
 04/12,44655623.3034153,0.0,352600332.047304 
 04/13,187641646.819774,0.0,372354126.712056 
 04/14,416308686.848273,0.0,327701257.980694 
