Name,Activity type,Description,,,,,,,,,
12/11/2013 12:31pm,,,,,,,,,,,
,,,,,,,,,,,
Segment,Point,Latitude (deg),Longitude (deg),Altitude (m),Bearing (deg),Accuracy (m),Speed (m/s),Time,Power (W),Cadence (rpm),Heart rate (bpm)
2,13,53.381055,-1.480451,173.8999939,298,3.627,1.3566,2013-11-12T13:57:38.434Z,,,
2,14,53.381132,-1.480437,174.8999939,348,3.331,0.507,2013-11-12T13:57:46.408Z,,,
2,15,53.381129,-1.480438,175.1999969,,3.249,0.1363,2013-11-12T13:57:47.483Z,,,
2,16,53.381121,-1.480441,175.8000031,,3.855,0.1983,2013-11-12T13:57:51.423Z,,,
2,17,53.381118,-1.480444,175.5,211,3.88,0.2778,2013-11-12T13:57:52.462Z,,,
2,18,53.381066,-1.480439,177.5,,3.198,0.2418,2013-11-12T13:58:00.458Z,,,
2,19,53.381067,-1.480441,177.6999969,,3.197,0.1383,2013-11-12T13:58:01.449Z,,,
2,20,53.381061,-1.480445,178.5,,3.303,0.0798,2013-11-12T13:58:10.635Z,,,
2,21,53.381065,-1.480447,178.6000061,342,3.13,0.3086,2013-11-12T13:58:11.450Z,,,
2,22,53.381074,-1.480451,178.5,343,3.818,0.2718,2013-11-12T13:58:14.431Z,,,
2,23,53.381074,-1.480451,178.5,,3.84,0.1688,2013-11-12T13:58:15.414Z,,,
2,24,53.381073,-1.48045,178.5,,4.948,0.0129,2013-11-12T13:58:19.563Z,,,
2,25,53.381079,-1.480451,178.5,354,5.298,0.2758,2013-11-12T13:58:20.438Z,,,
2,26,53.38114,-1.480483,177.1000061,344,5.977,2.2133,2013-11-12T13:58:22.418Z,,,
2,27,53.381183,-1.480507,172.1000061,343,6.175,3.1247,2013-11-12T13:58:23.414Z,,,
2,28,53.381236,-1.480531,169.6000061,344,6.302,4.054,2013-11-12T13:58:24.666Z,,,
2,29,53.381277,-1.480556,165.5,343,4.933,4.3761,2013-11-12T13:58:25.416Z,,,
2,30,53.381289,-1.480679,163.3999939,264,5.239,1.5071,2013-11-12T13:58:31.410Z,,,
2,31,53.381285,-1.480712,163.3000031,261,5.577,1.7188,2013-11-12T13:58:32.473Z,,,
2,32,53.381292,-1.480847,163.6999969,279,7.584,1.6341,2013-11-12T13:58:37.461Z,,,
2,33,53.381298,-1.480864,164.1000061,285,8.17,1.4813,2013-11-12T13:58:38.523Z,,,
2,34,53.381296,-1.480982,165.6000061,261,8.177,1.4544,2013-11-12T13:58:44.488Z,,,
2,35,53.381281,-1.481013,165.8000031,249,7.697,1.7269,2013-11-12T13:58:45.469Z,,,
2,36,53.381253,-1.481124,167,250,6.539,2.3349,2013-11-12T13:58:48.467Z,,,
2,37,53.381247,-1.481159,166.6000061,250,6.372,2.3659,2013-11-12T13:58:49.460Z,,,
2,38,53.381238,-1.481295,166.5,264,6.767,2.1749,2013-11-12T13:58:53.546Z,,,
2,39,53.381243,-1.481322,166.5,270,6.763,2.0947,2013-11-12T13:58:54.473Z,,,
2,40,53.381197,-1.481444,166.8000031,215,6.302,1.1991,2013-11-12T13:59:05.402Z,,,
2,41,53.381191,-1.48147,165.8999939,229,5.931,1.365,2013-11-12T13:59:06.402Z,,,
2,42,53.381191,-1.481617,166.5,275,5.696,1.3431,2013-11-12T13:59:12.422Z,,,
2,43,53.381195,-1.481629,167.1000061,281,5.736,1.1734,2013-11-12T13:59:13.447Z,,,
2,44,53.381253,-1.481708,165.3999939,317,5.913,1.4458,2013-11-12T13:59:21.486Z,,,
2,45,53.381265,-1.481733,165.6999969,314,5.761,1.6773,2013-11-12T13:59:22.474Z,,,
2,46,53.381291,-1.481852,165.3999939,288,6.046,2.0089,2013-11-12T13:59:26.896Z,,,
2,47,53.381283,-1.481894,165.6999969,274,5.878,2.1987,2013-11-12T13:59:27.482Z,,,
2,48,53.38125,-1.482025,165.8000031,253,5.715,2.8161,2013-11-12T13:59:30.464Z,,,
2,49,53.381237,-1.482057,166,248,5.314,2.7097,2013-11-12T13:59:31.462Z,,,
2,50,53.381193,-1.482175,165,253,5.121,1.1677,2013-11-12T13:59:38.452Z,,,
2,51,53.381193,-1.482192,164.8999939,260,6.236,1.1382,2013-11-12T13:59:39.474Z,,,
2,52,53.381222,-1.482309,166.3000031,291,13.335,1.3858,2013-11-12T13:59:45.467Z,,,
2,53,53.38123,-1.482332,166.3000031,294,13.649,1.4659,2013-11-12T13:59:46.461Z,,,
2,54,53.381246,-1.482462,167.1000061,282,11.474,1.6738,2013-11-12T13:59:51.466Z,,,
2,55,53.381244,-1.482492,166.6999969,277,11.207,1.7412,2013-11-12T13:59:52.456Z,,,
2,56,53.38123,-1.482598,165.3999939,265,9.794,2.0891,2013-11-12T13:59:55.459Z,,,
2,57,53.381223,-1.482643,164.8999939,262,9.72,2.2986,2013-11-12T13:59:56.509Z,,,
2,58,53.381209,-1.482788,164.8999939,262,8.652,2.8913,2013-11-12T13:59:59.863Z,,,
2,59,53.381205,-1.482836,164.8999939,262,8.223,2.9997,2013-11-12T14:00:00.433Z,,,
2,60,53.381184,-1.482973,163.3999939,255,6.967,2.3744,2013-11-12T14:00:04.461Z,,,
2,61,53.381174,-1.482995,162.6999969,249,6.926,2.1768,2013-11-12T14:00:05.479Z,,,
2,62,53.381232,-1.483103,161.3999939,324,5.689,1.4625,2013-11-12T14:00:12.418Z,,,
2,63,53.381233,-1.483112,161,317,5.749,1.103,2013-11-12T14:00:13.462Z,,,
2,64,53.381178,-1.483197,160.3000031,233,6.604,1.3912,2013-11-12T14:00:19.424Z,,,
2,65,53.381171,-1.483228,159.6000061,240,6.457,1.6135,2013-11-12T14:00:20.459Z,,,
2,66,53.381164,-1.483356,159.3999939,262,6.553,2.0158,2013-11-12T14:00:24.426Z,,,
2,67,53.381161,-1.48339,159.8999939,261,6.789,2.0913,2013-11-12T14:00:25.459Z,,,
2,68,53.381118,-1.483517,161.1999969,240,6.398,1.4777,2013-11-12T14:00:31.466Z,,,
2,69,53.381109,-1.483534,160.6999969,236,6.321,1.4903,2013-11-12T14:00:32.461Z,,,
2,70,53.381109,-1.483671,159,279,7.027,1.5375,2013-11-12T14:00:38.452Z,,,
2,71,53.381112,-1.483696,159.1000061,280,7.362,1.5548,2013-11-12T14:00:39.518Z,,,
2,72,53.381167,-1.483762,153.8999939,320,4.613,2.2388,2013-11-12T14:00:42.459Z,,,
2,73,53.381196,-1.483777,153.8999939,331,4.521,2.6292,2013-11-12T14:00:43.459Z,,,
2,74,53.381277,-1.483819,155,341,3.873,2.9878,2013-11-12T14:00:46.462Z,,,
2,75,53.381302,-1.483832,154,342,3.843,3.0023,2013-11-12T14:00:47.420Z,,,
2,76,53.381383,-1.483835,151.3999939,359,4.031,2.995,2013-11-12T14:00:50.472Z,,,
2,77,53.381413,-1.483822,150.5,6,4.309,3.1618,2013-11-12T14:00:51.465Z,,,
2,78,53.381498,-1.483787,153.1999969,9,4.444,3.1298,2013-11-12T14:00:54.463Z,,,
2,79,53.381519,-1.483795,154.3999939,2,4.486,2.8,2013-11-12T14:00:55.458Z,,,
2,80,53.381575,-1.483882,158.3000031,321,3.991,2.1013,2013-11-12T14:00:59.465Z,,,
2,81,53.381589,-1.483911,160.1999969,315,4.32,2.2328,2013-11-12T14:01:00.475Z,,,
2,82,53.381635,-1.484006,165.1000061,312,3.426,2.5816,2013-11-12T14:01:03.458Z,,,
2,83,53.38165,-1.484029,165.6999969,314,3.234,2.4044,2013-11-12T14:01:04.466Z,,,
2,84,53.381696,-1.484146,171.1999969,276,3.167,1.3092,2013-11-12T14:01:11.415Z,,,
2,85,53.381692,-1.484172,171.8999939,264,3.188,1.4945,2013-11-12T14:01:12.415Z,,,
2,86,53.381602,-1.484174,172.6000061,160,3.189,1.5126,2013-11-12T14:01:23.922Z,,,
2,87,53.381588,-1.484172,172.1999969,168,3.199,1.5017,2013-11-12T14:01:24.467Z,,,
2,88,53.381535,-1.484179,171.5,191,3.203,0.3226,2013-11-12T14:01:32.472Z,,,
2,89,53.381535,-1.484177,171.6999969,,3.199,0.18,2013-11-12T14:01:33.473Z,,,
2,90,53.381531,-1.48417,170.3999939,,3.852,0.0555,2013-11-12T14:02:33.453Z,,,
2,91,53.381534,-1.484179,170.3000031,307,3.857,0.3478,2013-11-12T14:02:34.450Z,,,
2,92,53.381574,-1.484273,168.6999969,306,4.467,2.2371,2013-11-12T14:02:37.426Z,,,
2,93,53.381592,-1.484316,168.1999969,306,4.519,2.679,2013-11-12T14:02:38.467Z,,,
2,94,53.381622,-1.484431,167.6000061,295,5.102,2.6804,2013-11-12T14:02:41.457Z,,,
2,95,53.381628,-1.484467,166.6999969,292,5.11,2.5971,2013-11-12T14:02:42.454Z,,,
2,96,53.381672,-1.484584,165.3999939,302,5.13,2.308,2013-11-12T14:02:46.438Z,,,
2,97,53.381683,-1.48461,166.1999969,303,4.677,2.2628,2013-11-12T14:02:47.421Z,,,
2,98,53.381731,-1.484735,163.3000031,304,5.046,2.5303,2013-11-12T14:02:51.405Z,,,
2,99,53.381747,-1.484773,163.3999939,305,5.826,2.6755,2013-11-12T14:02:52.473Z,,,
2,100,53.381784,-1.484847,163.1000061,309,7.399,2.9924,2013-11-12T14:02:55.309Z,,,
2,101,53.381807,-1.484887,162,311,7.692,3.229,2013-11-12T14:02:55.417Z,,,
2,102,53.381835,-1.484928,165.1000061,313,7.562,3.4657,2013-11-12T14:02:56.419Z,,,
2,103,53.381882,-1.484978,166.6999969,320,7.74,4.2417,2013-11-12T14:02:57.407Z,,,
2,104,53.381936,-1.485025,167.6999969,325,7.851,4.9168,2013-11-12T14:02:58.407Z,,,
2,105,53.381986,-1.485066,169.3000031,328,8.246,5.1944,2013-11-12T14:02:59.460Z,,,
2,106,53.382066,-1.485122,172.3999939,333,8.933,4.9835,2013-11-12T14:03:02.195Z,,,
2,107,53.382096,-1.485142,174.3000031,334,9.269,4.6038,2013-11-12T14:03:02.452Z,,,
2,108,53.382179,-1.485188,178.1999969,339,9.95,2.3842,2013-11-12T14:03:07.465Z,,,
2,109,53.382186,-1.485191,178.8000031,339,9.665,2.0171,2013-11-12T14:03:08.414Z,,,
2,110,53.382261,-1.485253,184.8999939,334,10.367,1.2709,2013-11-12T14:03:18.453Z,,,
2,111,53.382272,-1.485262,185.3999939,334,10.735,1.2778,2013-11-12T14:03:19.472Z,,,
2,112,53.382339,-1.485328,191.1000061,328,10.239,0.2628,2013-11-12T14:03:33.454Z,,,
2,113,53.382339,-1.485328,191.1000061,,8.356,0.1771,2013-11-12T14:03:34.427Z,,,
2,114,53.382336,-1.485324,191.6999969,,4.905,0.0555,2013-11-12T14:03:37.463Z,,,
2,115,53.382335,-1.485308,190.8999939,98,4.111,0.4243,2013-11-12T14:03:38.468Z,,,
2,116,53.382369,-1.485272,192.5,314,3.197,0.409,2013-11-12T14:03:50.450Z,,,
2,117,53.38237,-1.485271,192.1000061,,3.199,0.2204,2013-11-12T14:03:51.449Z,,,
2,118,53.382372,-1.485274,191.8999939,,3.652,0.1932,2013-11-12T14:03:53.459Z,,,
2,119,53.382375,-1.485279,192.1000061,317,3.822,0.3208,2013-11-12T14:03:54.462Z,,,
2,120,53.38239,-1.485304,191.6999969,,3.657,0.2419,2013-11-12T14:04:00.467Z,,,
2,121,53.38239,-1.485304,191.6999969,,3.317,0.1379,2013-11-12T14:04:01.469Z,,,
2,122,53.382391,-1.485309,191.6999969,,3.17,0.1869,2013-11-12T14:04:11.410Z,,,
2,123,53.382392,-1.485321,192.1000061,285,3.219,0.4659,2013-11-12T14:04:12.462Z,,,
2,124,53.382337,-1.485429,192,223,3.9,2.2132,2013-11-12T14:04:18.189Z,,,
2,125,53.382313,-1.485449,190.1999969,215,3.813,2.631,2013-11-12T14:04:18.424Z,,,
2,126,53.382249,-1.48548,187,201,3.84,3.3288,2013-11-12T14:04:20.348Z,,,
2,127,53.382214,-1.485495,186.8000031,198,3.899,3.5269,2013-11-12T14:04:21.491Z,,,
2,128,53.382151,-1.485531,183.8000031,199,3.862,3.6579,2013-11-12T14:04:23.464Z,,,
2,129,53.382122,-1.485551,181.6999969,201,3.856,3.6185,2013-11-12T14:04:24.452Z,,,
2,130,53.382063,-1.485585,179.8000031,200,3.842,3.5265,2013-11-12T14:04:26.424Z,,,
2,131,53.382034,-1.485601,181.6999969,199,3.351,3.4391,2013-11-12T14:04:27.457Z,,,
2,132,53.381956,-1.485653,182.8999939,203,3.662,3.0869,2013-11-12T14:04:30.472Z,,,
2,133,53.381935,-1.485673,182.8999939,206,3.812,2.9278,2013-11-12T14:04:31.454Z,,,
2,134,53.381883,-1.485706,183.1999969,,3.837,0.2331,2013-11-12T14:04:39.790Z,,,
2,135,53.381882,-1.485708,183.1000061,,3.868,0.1666,2013-11-12T14:04:40.451Z,,,
2,136,53.381881,-1.485711,183.1999969,,3.89,0.1584,2013-11-12T14:04:41.494Z,,,
2,137,53.381879,-1.485715,183.3999939,,3.849,0.2342,2013-11-12T14:04:42.460Z,,,
2,138,53.381832,-1.485842,179.5,248,3.24,1.8216,2013-11-12T14:04:49.508Z,,,
2,139,53.381831,-1.485873,179.5,259,3.185,1.9459,2013-11-12T14:04:50.463Z,,,
2,140,53.381832,-1.486006,178.3999939,266,3.196,2.2387,2013-11-12T14:04:54.450Z,,,
2,141,53.381825,-1.486043,178,259,3.202,2.3634,2013-11-12T14:04:55.460Z,,,
2,142,53.381804,-1.486154,177.3000031,256,3.208,2.5075,2013-11-12T14:04:58.456Z,,,
2,143,53.381804,-1.48619,176.8999939,262,3.662,2.4158,2013-11-12T14:04:59.474Z,,,
2,144,53.38181,-1.486336,177.3000031,266,3.216,1.8987,2013-11-12T14:05:05.066Z,,,
2,145,53.381802,-1.48636,178.1999969,254,3.201,1.8239,2013-11-12T14:05:05.463Z,,,
2,146,53.381745,-1.486455,178.1999969,238,3.639,1.408,2013-11-12T14:05:11.431Z,,,
2,147,53.381747,-1.486484,178.8000031,259,3.321,1.5258,2013-11-12T14:05:12.458Z,,,
2,148,53.381781,-1.486577,174.6999969,303,3.633,2.3123,2013-11-12T14:05:15.443Z,,,
2,149,53.381802,-1.486604,173.5,312,4.23,2.5081,2013-11-12T14:05:16.466Z,,,
2,150,53.381864,-1.486677,170.6999969,323,5.898,2.7374,2013-11-12T14:05:19.449Z,,,
2,151,53.381883,-1.486701,170.3999939,323,6.173,2.6811,2013-11-12T14:05:20.465Z,,,
2,152,53.381958,-1.486782,166.6000061,332,5.044,1.2074,2013-11-12T14:05:27.400Z,,,
2,153,53.381963,-1.486786,167,332,5.111,1.0046,2013-11-12T14:05:28.408Z,,,
2,154,53.381971,-1.486799,169.1000061,,4.844,0.2461,2013-11-12T14:05:33.428Z,,,
2,155,53.381966,-1.486789,164.3000031,,4.591,0.1792,2013-11-12T14:05:34.449Z,,,
2,156,53.381966,-1.486789,164.3000031,,4.591,0.1792,2013-11-12T14:05:35.053Z,,,
2,157,53.381959,-1.486775,163.6999969,126,4.119,0.5509,2013-11-12T14:05:35.591Z,,,
2,158,53.381956,-1.486765,164.6999969,120,3.959,0.3737,2013-11-12T14:05:37.567Z,,,
2,159,53.381958,-1.486768,164.8999939,,3.821,0.1071,2013-11-12T14:05:38.447Z,,,
2,160,53.381966,-1.486779,164.3999939,,3.201,0.1984,2013-11-12T14:05:50.425Z,,,
2,161,53.381971,-1.486781,164.6999969,356,3.198,0.3724,2013-11-12T14:05:51.420Z,,,
2,162,53.381993,-1.48682,166.3000031,335,4.512,0.2747,2013-11-12T14:06:03.399Z,,,
2,163,53.381994,-1.486821,166.3000031,,4.033,0.2104,2013-11-12T14:06:04.411Z,,,
2,164,53.381994,-1.486825,166.6999969,,3.34,0.0307,2013-11-12T14:06:16.438Z,,,
2,165,53.381997,-1.486837,166.6999969,290,3.202,0.4068,2013-11-12T14:06:17.408Z,,,
2,166,53.382028,-1.486976,167.3999939,288,6.521,1.1865,2013-11-12T14:06:25.467Z,,,
2,167,53.38203,-1.486992,167.3999939,287,6.678,1.188,2013-11-12T14:06:26.411Z,,,
2,168,53.382087,-1.487102,166.1000061,327,10.425,0.9539,2013-11-12T14:06:36.701Z,,,
2,169,53.382098,-1.487112,165.8999939,329,10.238,1.044,2013-11-12T14:06:37.407Z,,,
2,170,53.382162,-1.487192,162.1999969,324,9.216,1.6569,2013-11-12T14:06:42.464Z,,,
2,171,53.382179,-1.487213,161.8999939,324,8.805,1.8377,2013-11-12T14:06:43.457Z,,,
2,172,53.382239,-1.487276,163.6999969,328,7.808,2.3367,2013-11-12T14:06:46.434Z,,,
2,173,53.382259,-1.487291,163.6999969,330,7.92,2.3269,2013-11-12T14:06:47.450Z,,,
2,174,53.382336,-1.487225,167.1999969,37,7.243,0.8079,2013-11-12T14:06:57.449Z,,,
2,175,53.382361,-1.487217,170.3000031,21,5.691,1.3616,2013-11-12T14:06:58.449Z,,,
2,176,53.382425,-1.487195,173.3000031,13,4.55,2.7269,2013-11-12T14:07:00.438Z,,,
2,177,53.382456,-1.487185,173.6000061,12,4.573,2.9598,2013-11-12T14:07:01.502Z,,,
2,178,53.382536,-1.487147,173,19,4.307,1.1849,2013-11-12T14:07:07.457Z,,,
2,179,53.382543,-1.487143,173,19,4.463,1.0312,2013-11-12T14:07:08.465Z,,,
2,180,53.382611,-1.487047,172.8999939,45,16.555,0.7992,2013-11-12T14:07:21.714Z,,,
2,181,53.382182,-1.487237,,,20,,2013-11-12T14:08:33.088Z,,,
2,182,53.382182,-1.487237,,,29.58,,2013-11-12T14:08:49.999Z,,,
2,183,53.382671,-1.487162,,,42.927,,2013-11-12T14:08:55.297Z,,,
2,184,53.382713,-1.487088,,,13.179,,2013-11-12T14:10:04.871Z,,,
