Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/03  16:00:00,14.8166666667,1.85,78.3333333333,29.2580062803,29.2580062803,29.2580062803
 01/03  17:00:00,13.9,0.875,29.1666666667,26.9039023341,26.9039023341,26.9039023341
 01/03  18:00:00,13.2583333333,1.225,87.5,25.5497238681,25.5497238681,25.5497238681
 01/03  19:00:00,12.45,1.75,132.5,25.019759334,25.019759334,25.019759334
 01/03  20:00:00,11.2666666667,0.625,50,24.6249472992,24.6249472992,24.6249472992
 01/03  21:00:00,10.25,1.225,70,24.2670722025,24.2670722025,24.2670722025
 01/03  22:00:00,9.3583333333,0.875,50,23.9504359421,23.9504359421,23.9504359421
 01/03  23:00:00,8.9,1.5166666667,204.1666666667,23.6669960213,23.6669960213,23.6669960213
 01/03  24:00:00,8.9,3.7666666667,355.8333333333,23.4215870382,23.4215870382,23.4215870382
 01/04  01:00:00,8.55,1.9166666667,150,23.1914818031,23.1914818031,23.1914818031
 01/04  02:00:00,8.0083333333,0,0,22.9617894899,22.9617894899,22.9617894899
 01/04  03:00:00,8.0916666667,1.5166666667,210,22.7404356839,22.7404356839,22.7404356839
 01/04  04:00:00,7.0166666667,1.0833333333,150,22.5059499531,22.5059499531,22.5059499531
 01/04  05:00:00,5.1083333333,0.875,99.1666666667,22.1925280158,22.1925280158,22.1925280158
 01/04  06:00:00,5.3916666667,0.625,70.8333333333,21.9491338089,21.9491338089,21.9491338089
 01/04  07:00:00,5.4583333333,0,0,21.7734831746,21.7734831746,21.7734831746
 01/04  08:00:00,5.9916666667,0.875,58.3333333333,21.6867427391,21.6867427391,21.6867427391
 01/04  09:00:00,7.6333333333,3.0166666667,53.3333333333,22.4259820533,22.4259820533,22.4259820533
 01/04  10:00:00,8.65,4.1,14.1666666667,23.0149137021,23.0149137021,23.0149137021
 01/04  11:00:00,8.9,3.5166666667,10,23.7463034342,23.7463034342,23.7463034342
 01/04  12:00:00,9.5416666667,2.5166666667,21.6666666667,25.3594250092,25.3594250092,25.3594250092
 01/04  13:00:00,10.35,1.75,18.3333333333,26.253742755,26.253742755,26.253742755
 01/04  14:00:00,10.6,0.625,4.1666666667,27.5084438234,27.5084438234,27.5084438234
 01/04  15:00:00,10.25,1.225,11.6666666667,27.199294318,27.199294318,27.199294318
 01/04  16:00:00,10.35,2.3916666667,14.1666666667,26.3822655959,26.3822655959,26.3822655959
