Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 03/24  18:00:00,10.25,6.95,146.6666666667,23.4541907541,23.4541907541,23.4541907541
 03/24  19:00:00,10,7.0333333333,130,22.9614305228,22.9614305228,22.9614305228
 03/24  20:00:00,9.65,5.2666666667,130,22.6371417885,22.6371417885,22.6371417885
 03/24  21:00:00,9.1083333333,3.1416666667,153.3333333333,22.3024799768,22.3024799768,22.3024799768
 03/24  22:00:00,8.55,4.2,158.3333333333,22.052411984,22.052411984,22.052411984
 03/24  23:00:00,8.3,4.475,132.5,21.8403601567,21.8403601567,21.8403601567
 03/24  24:00:00,8.3,2.725,137.5,21.7118977645,21.7118977645,21.7118977645
 03/25  01:00:00,8.3,0.875,62.5,21.557100948,21.557100948,21.557100948
 03/25  02:00:00,8.3,0.875,105,21.3945182769,21.3945182769,21.3945182769
 03/25  03:00:00,8.0083333333,0.625,75,21.2167733804,21.2167733804,21.2167733804
 03/25  04:00:00,7.8,0,0,21.0438019798,21.0438019798,21.0438019798
 03/25  05:00:00,7.8,0.875,116.6666666667,20.8656167795,20.8656167795,20.8656167795
 03/25  06:00:00,7.45,2.1416666667,159.1666666667,20.668151912,20.668151912,20.668151912
 03/25  07:00:00,7.2,2.3083333333,130,20.6331112627,20.6331112627,20.6331112627
 03/25  08:00:00,8.1916666667,2.3916666667,130,21.1448830882,21.1448830882,21.1448830882
 03/25  09:00:00,9.1916666667,2.8916666667,130,21.8234567125,21.8234567125,21.8234567125
 03/25  10:00:00,10.3916666667,2.5166666667,147.5,23.1132718299,23.1132718299,23.1132718299
 03/25  11:00:00,12.0916666667,2.3916666667,113.3333333333,24.4346693884,24.4346693884,24.4346693884
 03/25  12:00:00,12.8,2.6,56.6666666667,25.4632475088,25.4632475088,25.4632475088
 03/25  13:00:00,13.4416666667,2.8916666667,28.3333333333,26.4913841899,26.4913841899,26.4913841899
 03/25  14:00:00,13.9,2.5166666667,14.1666666667,26.305297496,26.305297496,26.305297496
 03/25  15:00:00,13.9,3.9083333333,167.5,26.2491818444,26.2491818444,26.2491818444
 03/25  16:00:00,13.55,5.7833333333,280,27.1426773431,27.1426773431,27.1426773431
 03/25  17:00:00,13.0083333333,6.4916666667,274.1666666667,28.2689716448,28.2689716448,28.2689716448
 03/25  18:00:00,12.1583333333,7.2833333333,275.8333333333,27.5693224976,27.5693224976,27.5693224976
 03/25  19:00:00,11.0583333333,7.1166666667,280,25.4200457743,25.4200457743,25.4200457743
 03/25  20:00:00,10.6,6.4083333333,280,24.1885905381,24.1885905381,24.1885905381
 03/25  21:00:00,10.6,4.975,262.5,23.7320331462,23.7320331462,23.7320331462
 03/25  22:00:00,10.6,3.8083333333,261.6666666667,23.4152315378,23.4152315378,23.4152315378
 03/25  23:00:00,10.6,4.5333333333,264.1666666667,23.1365044686,23.1365044686,23.1365044686
 03/25  24:00:00,10.6,4.85,265.8333333333,22.8852620264,22.8852620264,22.8852620264
 03/26  01:00:00,10.6,4.6,287.5,22.6744175939,22.6744175939,22.6744175939
 03/26  02:00:00,10.8916666667,5.825,294.1666666667,22.5059612062,22.5059612062,22.5059612062
 03/26  03:00:00,11.1,6.1166666667,301.6666666667,22.3525083132,22.3525083132,22.3525083132
 03/26  04:00:00,11.1,5.7,304.1666666667,22.1940673789,22.1940673789,22.1940673789
 03/26  05:00:00,10.8083333333,4.1833333333,305.8333333333,22.0217387944,22.0217387944,22.0217387944
 03/26  06:00:00,10.8916666667,2.5166666667,310,21.8574462726,21.8574462726,21.8574462726
 03/26  07:00:00,11.1,2.1,257.5,21.8944094143,21.8944094143,21.8944094143
 03/26  08:00:00,11.45,2.3916666667,231.6666666667,22.4576559909,22.4576559909,22.4576559909
 03/26  09:00:00,12.6333333333,1.9583333333,292.5,23.2967520568,23.2967520568,23.2967520568
 03/26  10:00:00,14.2916666667,2.4333333333,201.6666666667,24.4724673307,24.4724673307,24.4724673307
 03/26  11:00:00,15,3.1,86.6666666667,25.9166508216,25.9166508216,25.9166508216
 03/26  12:00:00,15.9916666667,3.1,40.8333333333,27.2249804148,27.2249804148,27.2249804148
 03/26  13:00:00,16.7,4.9083333333,200.8333333333,28.2511078183,28.2511078183,28.2511078183
 03/26  14:00:00,17.3416666667,6.2,330,29.4990659858,29.4990659858,29.4990659858
 03/26  15:00:00,16.8083333333,7.3666666667,318.3333333333,30.843882186,30.843882186,30.843882186
 03/26  16:00:00,15.8083333333,7.6166666667,310,31.4599847247,31.4599847247,31.4599847247
 03/26  17:00:00,14.6083333333,7.7833333333,310,30.9287002545,30.9287002545,30.9287002545
 03/26  18:00:00,12.9083333333,7.9083333333,304.1666666667,29.053079187,29.053079187,29.053079187
 03/26  19:00:00,11.5583333333,7.4083333333,300,27.0629464696,27.0629464696,27.0629464696
 03/26  20:00:00,10.8083333333,7.2,305.8333333333,25.9973824854,25.9973824854,25.9973824854
 03/26  21:00:00,10.25,6.0333333333,310,25.4846963606,25.4846963606,25.4846963606
 03/26  22:00:00,10,5.4916666667,304.1666666667,25.0944227815,25.0944227815,25.0944227815
 03/26  23:00:00,10,4.7666666667,311.6666666667,24.7774682697,24.7774682697,24.7774682697
 03/26  24:00:00,10,3.8083333333,296.6666666667,24.5042730594,24.5042730594,24.5042730594
 03/27  01:00:00,10,4.5333333333,285.8333333333,24.2675127899,24.2675127899,24.2675127899
 03/27  02:00:00,10.35,4.2666666667,272.5,24.0659259406,24.0659259406,24.0659259406
 03/27  03:00:00,10.6,3.3083333333,213.3333333333,23.8917707713,23.8917707713,23.8917707713
 03/27  04:00:00,10.25,1.2916666667,75,23.6989983896,23.6989983896,23.6989983896
 03/27  05:00:00,10,1.5166666667,99.1666666667,23.4996452791,23.4996452791,23.4996452791
 03/27  06:00:00,10,2.8916666667,140.8333333333,23.3061779113,23.3061779113,23.3061779113
 03/27  07:00:00,10,1.2916666667,50,23.2324530371,23.2324530371,23.2324530371
 03/27  08:00:00,10.35,0.875,122.5,23.3551848962,23.3551848962,23.3551848962
 03/27  09:00:00,11.2416666667,2.4333333333,157.5,23.6908941932,23.6908941932,23.6908941932
 03/27  10:00:00,12.6333333333,3.3916666667,96.6666666667,25.3659614302,25.3659614302,25.3659614302
 03/27  11:00:00,13.65,2.725,109.1666666667,27.0084754429,27.0084754429,27.0084754429
 03/27  12:00:00,15.5333333333,2.1,65.8333333333,28.2768047286,28.2768047286,28.2768047286
 03/27  13:00:00,17.3416666667,4.7833333333,189.1666666667,29.3520235233,29.3520235233,29.3520235233
 03/27  14:00:00,18.7333333333,4.8916666667,140.8333333333,30.7092114383,30.7092114383,30.7092114383
 03/27  15:00:00,18.4666666667,3.3083333333,37.5,32.3063786109,32.3063786109,32.3063786109
 03/27  16:00:00,18.7333333333,4.325,207.5,33.1914101622,33.1914101622,33.1914101622
 03/27  17:00:00,17.475,7.3,320,32.8420080202,32.8420080202,32.8420080202
 03/27  18:00:00,14.8166666667,8.1583333333,314.1666666667,31.0614085863,31.0614085863,31.0614085863
 03/27  19:00:00,12.9083333333,7.4083333333,310,28.7791266334,28.7791266334,28.7791266334
 03/27  20:00:00,11.9083333333,6.325,315.8333333333,27.5330954063,27.5330954063,27.5330954063
 03/27  21:00:00,11.35,5.7,314.1666666667,26.968671725,26.968671725,26.968671725
 03/27  22:00:00,11.1,5.7,310,26.5458659815,26.5458659815,26.5458659815
 03/27  23:00:00,11.1,5.0583333333,315.8333333333,26.2086996865,26.2086996865,26.2086996865
 03/27  24:00:00,10.4583333333,3.4333333333,296.6666666667,25.8970613221,25.8970613221,25.8970613221
 03/28  01:00:00,10,1.0833333333,116.6666666667,25.5997569659,25.5997569659,25.5997569659
 03/28  02:00:00,9.65,1.225,140,25.3343068219,25.3343068219,25.3343068219
 03/28  03:00:00,9.75,0.875,100,25.0870874488,25.0870874488,25.0870874488
 03/28  04:00:00,10,1.225,157.5,24.8982001034,24.8982001034,24.8982001034
 03/28  05:00:00,10.35,4.4916666667,240.8333333333,24.7081975461,24.7081975461,24.7081975461
 03/28  06:00:00,10.6,4.6833333333,196.6666666667,24.5245993861,24.5245993861,24.5245993861
 03/28  07:00:00,10.6,3.8916666667,174.1666666667,24.5361989143,24.5361989143,24.5361989143
 03/28  08:00:00,11.2416666667,3.225,164.1666666667,24.9650973853,24.9650973853,24.9650973853
 03/28  09:00:00,12.6333333333,3.1833333333,125,25.7820372181,25.7820372181,25.7820372181
 03/28  10:00:00,13.65,3.8916666667,82.5,26.5240055814,26.5240055814,26.5240055814
 03/28  11:00:00,14.5416666667,4.1,81.6666666667,27.6741747251,27.6741747251,27.6741747251
 03/28  12:00:00,15.35,3.5166666667,66.6666666667,28.9115263469,28.9115263469,28.9115263469
 03/28  13:00:00,16.8833333333,4.9083333333,207.5,29.9857962474,29.9857962474,29.9857962474
 03/28  14:00:00,17.8,6.4916666667,314.1666666667,31.3916673293,31.3916673293,31.3916673293
 03/28  15:00:00,17.8,6.1166666667,292.5,32.8701255521,32.8701255521,32.8701255521
 03/28  16:00:00,17.8,5.7,268.3333333333,33.8953731944,33.8953731944,33.8953731944
 03/28  17:00:00,17.8,5.0583333333,254.1666666667,34.3812750855,34.3812750855,34.3812750855
 03/28  18:00:00,16.5166666667,4.3083333333,250,33.2665223827,33.2665223827,33.2665223827
 03/28  19:00:00,14.2583333333,4.1,261.6666666667,30.6521498164,30.6521498164,30.6521498164
 03/28  20:00:00,12.6583333333,3.5166666667,264.1666666667,28.9027322261,28.9027322261,28.9027322261
 03/28  21:00:00,11.9083333333,2.8083333333,248.3333333333,28.2258716351,28.2258716351,28.2258716351
 03/28  22:00:00,11.7,1.0833333333,100,27.7689544653,27.7689544653,27.7689544653
 03/28  23:00:00,11.7,1.225,99.1666666667,27.4134088187,27.4134088187,27.4134088187
 03/28  24:00:00,11.35,0.875,70.8333333333,27.0901397657,27.0901397657,27.0901397657
 03/29  01:00:00,10.8083333333,0,0,26.7791291374,26.7791291374,26.7791291374
 03/29  02:00:00,10.25,0,0,26.4835872995,26.4835872995,26.4835872995
 03/29  03:00:00,10,0,0,26.2152704078,26.2152704078,26.2152704078
 03/29  04:00:00,9.0083333333,1.8083333333,157.5,25.9273533444,25.9273533444,25.9273533444
 03/29  05:00:00,9.6416666667,2.8083333333,264.1666666667,25.6683298798,25.6683298798,25.6683298798
 03/29  06:00:00,10.25,1.0833333333,108.3333333333,25.5195362339,25.5195362339,25.5195362339
 03/29  07:00:00,9.65,0,0,25.4892657036,25.4892657036,25.4892657036
 03/29  08:00:00,11.0333333333,0.875,116.6666666667,25.9751350736,25.9751350736,25.9751350736
 03/29  09:00:00,12.8416666667,1.85,130,26.759846067,26.759846067,26.759846067
 03/29  10:00:00,13.9416666667,2.6833333333,68.3333333333,27.9051238706,27.9051238706,27.9051238706
 03/29  11:00:00,14.75,3.1,83.3333333333,28.8995927299,28.8995927299,28.8995927299
 03/29  12:00:00,15.35,3.1,76.6666666667,29.1624027009,29.1624027009,29.1624027009
 03/29  13:00:00,16.8833333333,3.975,170.8333333333,29.9476025575,29.9476025575,29.9476025575
 03/29  14:00:00,17.45,4.3083333333,261.6666666667,30.6213527368,30.6213527368,30.6213527368
 03/29  15:00:00,17.2,4.7416666667,270,29.8856431311,29.8856431311,29.8856431311
 03/29  16:00:00,16.5583333333,5.2,299.1666666667,28.9458248655,28.9458248655,28.9458248655
 03/29  17:00:00,15.1083333333,6.6583333333,296.6666666667,28.2374691051,28.2374691051,28.2374691051
 03/29  18:00:00,14.4,6.825,280,27.5809097417,27.5809097417,27.5809097417
 03/29  19:00:00,13.4666666667,4.1,262.5,27.0372088742,27.0372088742,27.0372088742
 03/29  20:00:00,12.45,2.6,255.8333333333,26.6064269011,26.6064269011,26.6064269011
 03/29  21:00:00,12.2,3.475,265.8333333333,26.3190717467,26.3190717467,26.3190717467
 03/29  22:00:00,12.2,4.3916666667,264.1666666667,26.0958065899,26.0958065899,26.0958065899
 03/29  23:00:00,11.9083333333,6.1166666667,277.5,25.8765680933,25.8765680933,25.8765680933
 03/29  24:00:00,11.9916666667,6.6166666667,278.3333333333,25.6635024437,25.6635024437,25.6635024437
 03/30  01:00:00,11.9083333333,7.075,293.3333333333,25.4816592474,25.4816592474,25.4816592474
 03/30  02:00:00,11.7,6.5333333333,310,25.2755129884,25.2755129884,25.2755129884
 03/30  03:00:00,11.35,5.9916666667,292.5,25.064859788,25.064859788,25.064859788
 03/30  04:00:00,11.1,7.075,280,24.8310726706,24.8310726706,24.8310726706
 03/30  05:00:00,11.1,7.1166666667,274.1666666667,24.6353335483,24.6353335483,24.6353335483
 03/30  06:00:00,10.8083333333,6.4083333333,275.8333333333,24.4428985969,24.4428985969,24.4428985969
 03/30  07:00:00,11.2416666667,5.9083333333,280,24.4476642041,24.4476642041,24.4476642041
 03/30  08:00:00,12.6333333333,5.4083333333,291.6666666667,24.8930720232,24.8930720232,24.8930720232
 03/30  09:00:00,13.9416666667,5.7833333333,311.6666666667,25.7889638244,25.7889638244,25.7889638244
 03/30  10:00:00,14.75,6.7833333333,302.5,27.0153051525,27.0153051525,27.0153051525
 03/30  11:00:00,15.35,8.1333333333,301.6666666667,28.2964197251,28.2964197251,28.2964197251
 03/30  12:00:00,15.8916666667,9.0916666667,315.8333333333,29.210307249,29.210307249,29.210307249
 03/30  13:00:00,16.1,8.075,302.5,29.9750781839,29.9750781839,29.9750781839
 03/30  14:00:00,16.1,8.7166666667,290,31.3206996062,31.3206996062,31.3206996062
 03/30  15:00:00,15.8083333333,10.9666666667,284.1666666667,32.8887071685,32.8887071685,32.8887071685
 03/30  16:00:00,14.9,9.1166666667,291.6666666667,34.214442419,34.214442419,34.214442419
 03/30  17:00:00,14.1083333333,9.3,294.1666666667,34.4772392559,34.4772392559,34.4772392559
 03/30  18:00:00,13.2583333333,8.4083333333,278.3333333333,33.2519093697,33.2519093697,33.2519093697
 03/30  19:00:00,12.1583333333,7.925,281.6666666667,30.589585246,30.589585246,30.589585246
 03/30  20:00:00,11.7,10.2583333333,290,28.7630909516,28.7630909516,28.7630909516
 03/30  21:00:00,11.35,9.4916666667,290,28.095851438,28.095851438,28.095851438
 03/30  22:00:00,10.8083333333,7.0333333333,301.6666666667,27.5951681857,27.5951681857,27.5951681857
 03/30  23:00:00,10.6,4.975,315.8333333333,27.1845500763,27.1845500763,27.1845500763
 03/30  24:00:00,10.6,5.6166666667,314.1666666667,26.839951508,26.839951508,26.839951508
 03/31  01:00:00,10.25,5.825,298.3333333333,26.518470151,26.518470151,26.518470151
 03/31  02:00:00,10,4.85,295.8333333333,26.218308868,26.218308868,26.218308868
 03/31  03:00:00,9.3583333333,4.0166666667,300,25.9310060484,25.9310060484,25.9310060484
 03/31  04:00:00,8.2583333333,2.725,305.8333333333,25.6183783673,25.6183783673,25.6183783673
 03/31  05:00:00,8.0916666667,1.75,269.1666666667,25.3426945296,25.3426945296,25.3426945296
 03/31  06:00:00,8.0083333333,1.85,240,25.1065537919,25.1065537919,25.1065537919
 03/31  07:00:00,8.7333333333,2.1,245.8333333333,25.0963944854,25.0963944854,25.0963944854
 03/31  08:00:00,11.3833333333,0.875,104.1666666667,25.649366569,25.649366569,25.649366569
 03/31  09:00:00,13.4416666667,0.875,35,26.6422039222,26.6422039222,26.6422039222
 03/31  10:00:00,14.5416666667,1.85,42.5,27.9221573559,27.9221573559,27.9221573559
 03/31  11:00:00,15.9916666667,2.1,53.3333333333,29.3072298059,29.3072298059,29.3072298059
 03/31  12:00:00,17.3416666667,2.6833333333,46.6666666667,30.564498502,30.564498502,30.564498502
 03/31  13:00:00,18.4416666667,4.6166666667,199.1666666667,31.5312370632,31.5312370632,31.5312370632
 03/31  14:00:00,18.9,7.5083333333,314.1666666667,32.718467342,32.718467342,32.718467342
 03/31  15:00:00,18.2583333333,8.1583333333,310,34.2900695608,34.2900695608,34.2900695608
 03/31  16:00:00,17.1583333333,7.7,315.8333333333,34.7827008458,34.7827008458,34.7827008458
 03/31  17:00:00,16.0583333333,8.6333333333,314.1666666667,34.424962703,34.424962703,34.424962703
 03/31  18:00:00,14.9,8.6583333333,292.5,33.4138910518,33.4138910518,33.4138910518
 03/31  19:00:00,13.4666666667,8.2,291.6666666667,31.0903783666,31.0903783666,31.0903783666
 03/31  20:00:00,12.45,6.7416666667,294.1666666667,29.5454346453,29.5454346453,29.5454346453
 03/31  21:00:00,11.9083333333,5.4083333333,290,28.9140000187,28.9140000187,28.9140000187
 03/31  22:00:00,12.05,5.1416666667,307.5,28.4733298255,28.4733298255,28.4733298255
 03/31  23:00:00,12.5916666667,5.0416666667,296.6666666667,28.1405316412,28.1405316412,28.1405316412
 03/31  24:00:00,13.15,4.9416666667,291.6666666667,27.8613396456,27.8613396456,27.8613396456
 04/01  01:00:00,13.6916666667,4.9,329.1666666667,27.621041092,27.621041092,27.621041092
 04/01  02:00:00,14.25,4.8416666667,145.8333333333,27.4099240102,27.4099240102,27.4099240102
 04/01  03:00:00,14.7916666667,4.7416666667,52.5,27.232739373,27.232739373,27.232739373
 04/01  04:00:00,15.35,4.6416666667,136.6666666667,27.0751593933,27.0751593933,27.0751593933
 04/01  05:00:00,15.8916666667,1.9166666667,70.8333333333,26.9320471759,26.9320471759,26.9320471759
 04/01  06:00:00,17.0916666667,1.5166666667,204.1666666667,26.8271268606,26.8271268606,26.8271268606
 04/01  07:00:00,18.0916666667,5.575,175,26.9633366422,26.9633366422,26.9633366422
 04/01  08:00:00,18.65,7.1166666667,50,27.513894291,27.513894291,27.513894291
 04/01  09:00:00,18.9,6.4083333333,50,28.387083356,28.387083356,28.387083356
 04/01  10:00:00,20.5333333333,5.6166666667,38.3333333333,29.6592680623,29.6592680623,29.6592680623
 04/01  11:00:00,22.9833333333,4.85,216.6666666667,31.1089151432,31.1089151432,31.1089151432
 04/01  12:00:00,24.1916666667,4.0166666667,344.1666666667,32.3472696933,32.3472696933,32.3472696933
 04/01  13:00:00,22.825,4.5333333333,147.5,33.2616218405,33.2616218405,33.2616218405
 04/01  14:00:00,23.275,3.6833333333,10,34.5466410449,34.5466410449,34.5466410449
 04/01  15:00:00,25.7416666667,1.9583333333,208.3333333333,36.3635192841,36.3635192841,36.3635192841
 04/01  16:00:00,26.9916666667,2.1416666667,338.3333333333,36.8272373151,36.8272373151,36.8272373151
 04/01  17:00:00,26.5583333333,4.9916666667,295,37.6039019018,37.6039019018,37.6039019018
 04/01  18:00:00,23.5333333333,5.825,270,36.8664108798,36.8664108798,36.8664108798
 04/01  19:00:00,21.0583333333,4.5583333333,264.1666666667,34.1328096638,34.1328096638,34.1328096638
 04/01  20:00:00,19.6083333333,4.3916666667,260,32.2812833522,32.2812833522,32.2812833522
 04/01  21:00:00,18.2583333333,3.725,271.6666666667,31.6087187126,31.6087187126,31.6087187126
 04/01  22:00:00,16.8083333333,2.5166666667,274.1666666667,31.1025353987,31.1025353987,31.1025353987
 04/01  23:00:00,15.8083333333,1.75,246.6666666667,30.6669022361,30.6669022361,30.6669022361
 04/01  24:00:00,15.25,1.85,247.5,30.3031148319,30.3031148319,30.3031148319
 04/02  01:00:00,14.0083333333,2.3916666667,265.8333333333,29.9437585492,29.9437585492,29.9437585492
 04/02  02:00:00,13.5916666667,1.8416666667,299.1666666667,29.6160193785,29.6160193785,29.6160193785
 04/02  03:00:00,14.15,0.5416666667,133.3333333333,29.4017064825,29.4017064825,29.4017064825
 04/02  04:00:00,14.75,0,0,29.2184286425,29.2184286425,29.2184286425
 04/02  05:00:00,13.3666666667,0.875,116.6666666667,28.9541395185,28.9541395185,28.9541395185
 04/02  06:00:00,12.8416666667,0.625,83.3333333333,28.6543907267,28.6543907267,28.6543907267
 04/02  07:00:00,14.2916666667,0.875,186.6666666667,28.7175558228,28.7175558228,28.7175558228
 04/02  08:00:00,15.6416666667,0.625,133.3333333333,29.1997463252,29.1997463252,29.1997463252
 04/02  09:00:00,16.1,1.225,11.6666666667,30.0465728887,30.0465728887,30.0465728887
 04/02  10:00:00,16.45,2.1,31.6666666667,31.2634005021,31.2634005021,31.2634005021
 04/02  11:00:00,17.6333333333,1.75,28.3333333333,32.6613210422,32.6613210422,32.6613210422
 04/02  12:00:00,19.9333333333,1.5,20,33.9750365956,33.9750365956,33.9750365956
 04/02  13:00:00,23.025,2.4333333333,206.6666666667,35.0853002409,35.0853002409,35.0853002409
 04/02  14:00:00,23.1166666667,3.6833333333,351.6666666667,36.4838897138,36.4838897138,36.4838897138
 04/02  15:00:00,25.7583333333,3.8083333333,336.6666666667,38.1915245917,38.1915245917,38.1915245917
 04/02  16:00:00,28.3,4.1833333333,302.5,39.4926461939,39.4926461939,39.4926461939
 04/02  17:00:00,28.0083333333,4.0166666667,295.8333333333,40.1307079859,40.1307079859,40.1307079859
 04/02  18:00:00,25.175,5.7,282.5,38.9942960207,38.9942960207,38.9942960207
 04/02  19:00:00,21.025,6.325,281.6666666667,36.1156490771,36.1156490771,36.1156490771
 04/02  20:00:00,19.4,5.0583333333,284.1666666667,34.203551302,34.203551302,34.203551302
 04/02  21:00:00,20.1,4.3083333333,285.8333333333,33.5781185686,33.5781185686,33.5781185686
 04/02  22:00:00,20.25,3.8083333333,290,33.1640484117,33.1640484117,33.1640484117
 04/02  23:00:00,18.7166666667,3.6,272.5,32.7304982246,32.7304982246,32.7304982246
 04/02  24:00:00,17.1583333333,2.375,178.3333333333,32.2988560113,32.2988560113,32.2988560113
 04/03  01:00:00,15.3583333333,1.85,254.1666666667,31.8990936993,31.8990936993,31.8990936993
 04/03  02:00:00,13.7583333333,2.3916666667,303.3333333333,31.4955428918,31.4955428918,31.4955428918
 04/03  03:00:00,12.6583333333,1.9583333333,246.6666666667,31.1455671402,31.1455671402,31.1455671402
 04/03  04:00:00,12.2,2.1416666667,253.3333333333,30.8330043013,30.8330043013,30.8330043013
 04/03  05:00:00,12.2,3.1833333333,264.1666666667,30.5618232359,30.5618232359,30.5618232359
 04/03  06:00:00,11.9083333333,3.8916666667,260,30.2926580126,30.2926580126,30.2926580126
 04/03  07:00:00,11.9916666667,4.1,265.8333333333,30.24462799,30.24462799,30.24462799
 04/03  08:00:00,13.1916666667,4.3916666667,275.8333333333,30.7381285798,30.7381285798,30.7381285798
 04/03  09:00:00,14.5416666667,1.9166666667,116.6666666667,31.5926873481,31.5926873481,31.5926873481
 04/03  10:00:00,15.9916666667,2.1,210,32.7970861261,32.7970861261,32.7970861261
 04/03  11:00:00,17.3416666667,3.6,155.8333333333,33.9982427212,33.9982427212,33.9982427212
 04/03  12:00:00,17.8,3.6,21.6666666667,35.0466272494,35.0466272494,35.0466272494
 04/03  13:00:00,17.8,3.6,30,35.8279127175,35.8279127175,35.8279127175
 04/03  14:00:00,18.4416666667,3.6,35.8333333333,36.987792858,36.987792858,36.987792858
 04/03  15:00:00,18.9,3.0166666667,51.6666666667,38.361576568,38.361576568,38.361576568
 04/03  16:00:00,19.1916666667,2.3083333333,112.5,37.3856222459,37.3856222459,37.3856222459
 04/03  17:00:00,18.4666666667,2.6833333333,196.6666666667,36.6775323795,36.6775323795,36.6775323795
 04/03  18:00:00,17.1583333333,2.1666666667,113.3333333333,36.7561038774,36.7561038774,36.7561038774
 04/03  19:00:00,15.3583333333,1.5,187.5,35.0390513192,35.0390513192,35.0390513192
 04/03  20:00:00,14.4,3.0166666667,259.1666666667,33.3889956623,33.3889956623,33.3889956623
 04/03  21:00:00,13.7583333333,3.5166666667,224.1666666667,32.7801532133,32.7801532133,32.7801532133
 04/03  22:00:00,13.0083333333,3.6833333333,208.3333333333,32.3157864631,32.3157864631,32.3157864631
 04/03  23:00:00,12.45,3.5166666667,200,31.9124350053,31.9124350053,31.9124350053
 04/03  24:00:00,12.2,4.325,194.1666666667,31.5508680491,31.5508680491,31.5508680491
 04/04  01:00:00,12.2,5.7833333333,184.1666666667,31.2386276923,31.2386276923,31.2386276923
 04/04  02:00:00,11.9083333333,4.6833333333,191.6666666667,30.9476875533,30.9476875533,30.9476875533
 04/04  03:00:00,11.7,3.3083333333,194.1666666667,30.6634941755,30.6634941755,30.6634941755
 04/04  04:00:00,11.35,3.3916666667,195.8333333333,30.380355316,30.380355316,30.380355316
 04/04  05:00:00,11.45,3.8916666667,205.8333333333,30.1108011606,30.1108011606,30.1108011606
 04/04  06:00:00,11.7,3.5166666667,198.3333333333,29.8884258272,29.8884258272,29.8884258272
 04/04  07:00:00,11.9916666667,3.1,190,29.7966977835,29.7966977835,29.7966977835
 04/04  08:00:00,12.55,3.6833333333,207.5,29.9245794772,29.9245794772,29.9245794772
 04/04  09:00:00,13.0916666667,5.0333333333,225.8333333333,30.1393963229,30.1393963229,30.1393963229
 04/04  10:00:00,13.65,5.4083333333,230,30.4563818679,30.4563818679,30.4563818679
 04/04  11:00:00,14.5416666667,5.2,230,31.1841248011,31.1841248011,31.1841248011
 04/04  12:00:00,15.6416666667,6.075,265,32.8516171861,32.8516171861,32.8516171861
 04/04  13:00:00,16.1,7.925,266.6666666667,34.1569867795,34.1569867795,34.1569867795
 04/04  14:00:00,15.8083333333,8.8,255.8333333333,35.2929140844,35.2929140844,35.2929140844
 04/04  15:00:00,15.6,8.1583333333,260,36.3698193509,36.3698193509,36.3698193509
 04/04  16:00:00,15.25,7.4083333333,260,36.056129606,36.056129606,36.056129606
 04/04  17:00:00,14.3583333333,7.7833333333,260,34.8021526774,34.8021526774,34.8021526774
 04/04  18:00:00,13.2583333333,7.6166666667,254.1666666667,34.2822247709,34.2822247709,34.2822247709
 04/04  19:00:00,12.45,7.2,261.6666666667,32.7241479128,32.7241479128,32.7241479128
 04/04  20:00:00,11.9083333333,6.6166666667,264.1666666667,31.411871029,31.411871029,31.411871029
 04/04  21:00:00,11.7,6.4916666667,254.1666666667,30.8664673478,30.8664673478,30.8664673478
 04/04  22:00:00,11.35,6.4083333333,250,30.449856863,30.449856863,30.449856863
 04/04  23:00:00,11.1,5.9083333333,244.1666666667,30.0783987761,30.0783987761,30.0783987761
 04/04  24:00:00,11.1,4.7666666667,257.5,29.7688021349,29.7688021349,29.7688021349
 04/05  01:00:00,11.1,4.1,252.5,29.4901605952,29.4901605952,29.4901605952
 04/05  02:00:00,11.1,4.7416666667,251.6666666667,29.2189993812,29.2189993812,29.2189993812
 04/05  03:00:00,10.8083333333,4.5583333333,260,28.9456382424,28.9456382424,28.9456382424
 04/05  04:00:00,10.6,4.1,254.1666666667,28.6765384896,28.6765384896,28.6765384896
 04/05  05:00:00,10.8916666667,4.3916666667,255.8333333333,28.4370654267,28.4370654267,28.4370654267
 04/05  06:00:00,11.1,4.95,260,28.2164072015,28.2164072015,28.2164072015
 04/05  07:00:00,11.1,4.85,265.8333333333,28.1447295865,28.1447295865,28.1447295865
 04/05  08:00:00,11.45,5.2416666667,246.6666666667,28.3285987839,28.3285987839,28.3285987839
 04/05  09:00:00,11.9916666667,5.9916666667,247.5,28.8501370278,28.8501370278,28.8501370278
 04/05  10:00:00,12.55,5.6166666667,260,29.6336830315,29.6336830315,29.6336830315
 04/05  11:00:00,13.7333333333,5.4916666667,271.6666666667,30.2657458052,30.2657458052,30.2657458052
 04/05  12:00:00,14.75,6.575,274.1666666667,30.965139454,30.965139454,30.965139454
 04/05  13:00:00,15.35,8.1333333333,270,31.2366302548,31.2366302548,31.2366302548
 04/05  14:00:00,15.6,8.1583333333,270,31.4075725882,31.4075725882,31.4075725882
 04/05  15:00:00,15.6,7.4083333333,264.1666666667,31.500928418,31.500928418,31.500928418
 04/05  16:00:00,14.9,9.0083333333,265.8333333333,31.8539472687,31.8539472687,31.8539472687
