Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),FLOOR 0:Zone Mean Air Temperature [C](Hourly),FLOOR 1:Zone Mean Air Temperature [C](Hourly),FLOOR 2:Zone Mean Air Temperature [C](Hourly),FLOOR 3:Zone Mean Air Temperature [C](Hourly),FLOOR 4:Zone Mean Air Temperature [C](Hourly),FLOOR 5:Zone Mean Air Temperature [C](Hourly),FLOOR 6:Zone Mean Air Temperature [C](Hourly),FLOOR 7:Zone Mean Air Temperature [C](Hourly) 
 01/03  03:00:00,11.2833333333,3.0416666667,72.5,22.9182797154,24.6250490184,24.9762988089,25.079350688,25.1177222972,25.1421312745,25.117074546,22.8936110816
 01/03  04:00:00,13.1916666667,5.4083333333,54.1666666667,22.9823835555,24.6828366154,25.0339928736,25.1362167759,25.1749325186,25.1989030884,25.1726738718,22.9060913455
 01/03  05:00:00,13.2583333333,10.0083333333,44.1666666667,22.9247982696,24.6188310611,24.9646174097,25.0699366713,25.1045284241,25.1319932064,25.0996489581,22.7933397695
 01/03  06:00:00,12.45,10.7166666667,34.1666666667,22.7412012749,24.4272732681,24.7714829702,24.8762984049,24.9100910984,24.9373967561,24.9016278488,22.494039333
 01/03  07:00:00,11.5583333333,10.3,30,22.5394710291,24.2189767365,24.5611253814,24.6662163168,24.6984882361,24.7263684265,24.6859453082,22.1651872495
 01/03  08:00:00,11.1,9.075,41.6666666667,23.027734418,24.659557115,25.0346107505,25.1032573601,25.1696305012,25.1616935931,25.1520289928,22.7315713652
 01/03  09:00:00,11.45,5.8083333333,67.5,25.5168403238,27.1217674331,27.4946431497,27.5673088388,27.6332714022,27.6279795521,27.6093046307,26.5793349913
 01/03  10:00:00,12.6333333333,3.225,97.5,26.8590439509,28.4997234648,28.8652388026,28.9647420688,29.018934373,29.0360947054,28.9901709837,29.5019972758
 01/03  11:00:00,12.6583333333,3.475,92.5,26.9854327292,28.6681653908,29.0305829381,29.1511495857,29.1942722653,29.2260289403,29.1626775834,30.2788032319
 01/03  12:00:00,13.8333333333,3.225,97.5,26.5865142195,28.2883266265,28.6565344395,28.7742195094,28.8204867008,28.8503378835,28.784111649,29.8122835799
 01/03  13:00:00,15.35,2.3083333333,121.6666666667,26.9471311631,28.6303909656,29.0129061786,29.1189324669,29.1791778726,29.1969449742,29.1415156872,30.4713920639
 01/03  14:00:00,15.8916666667,0.875,54.1666666667,28.2161532961,29.9141952591,30.3183222611,30.4256014298,30.4956795359,30.5123934747,30.4632939106,32.9745767864
 01/03  15:00:00,16.1,0.875,52.5,29.1519722108,30.8455950347,31.2400302544,31.3583025484,31.4206365228,31.448389617,31.3912116996,34.9047527818
 01/03  16:00:00,14.8166666667,1.85,78.3333333333,29.0263285263,30.7190150416,31.0818741245,31.2143016017,31.253286524,31.296234773,31.2214811068,34.7542276701
 01/03  17:00:00,13.9,0.875,29.1666666667,26.8433444467,28.5590477307,28.8929326983,29.0396218752,29.0524588039,29.1136426782,29.0233622007,30.8091073664
 01/03  18:00:00,13.2583333333,1.225,87.5,25.584491636,27.2881946255,27.6406434233,27.7625064608,27.7943202673,27.8322373584,27.769579849,28.4089793624
 01/03  19:00:00,12.45,1.75,132.5,24.9986618121,26.7036093865,27.0570548603,27.1733342782,27.2073985021,27.2405028397,27.1858821861,27.2419815322
 01/03  20:00:00,11.2666666667,0.625,50,24.526909135,26.2411124618,26.5940309874,26.7094446476,26.7430112616,26.7754519478,26.7256471621,26.3169981067
 01/03  21:00:00,10.25,1.225,70,24.1106265171,25.8288468848,26.1813471,26.2945628875,26.3281325012,26.358667656,26.3138598468,25.4906229686
 01/03  22:00:00,9.3583333333,0.875,50,23.756264022,25.4786063244,25.8307130979,25.9425756769,25.9763185639,26.0058718479,25.9649900359,24.7799133985
 01/03  23:00:00,8.9,1.5166666667,204.1666666667,23.4597736227,25.1825557745,25.5347859902,25.6447343805,25.6788295905,25.7067672885,25.6693351076,24.1718302957
 01/03  24:00:00,8.9,3.7666666667,355.8333333333,23.2232735788,24.9400684636,25.2900441567,25.3976198699,25.4311262112,25.457416877,25.4217410325,23.6651890202
 01/04  01:00:00,8.55,1.9166666667,150,23.0054959026,24.7225694758,25.0727309747,25.1793903252,25.2133551405,25.2388853056,25.204406321,23.2174324868
 01/04  02:00:00,8.0083333333,0,0,22.7794188964,24.501959123,24.8536274783,24.9620396616,24.995931609,25.0227293667,24.9877283352,22.786776409
 01/04  03:00:00,8.0916666667,1.5166666667,210,22.5842431562,24.2983813388,24.6491300922,24.7549915708,24.7890761537,24.8137733632,24.7785155393,22.3923443368
 01/04  04:00:00,7.0166666667,1.0833333333,150,22.3383183778,24.0506979973,24.397727191,24.505903867,24.5366023819,24.5637887912,24.5234728829,21.959857717
 01/04  05:00:00,5.1083333333,0.875,99.1666666667,21.9742103875,23.6845317417,24.0309028542,24.1398773756,24.1695484878,24.1975855441,24.1536587153,21.3612391927
 01/04  06:00:00,5.3916666667,0.625,70.8333333333,21.7729263354,23.4716909408,23.8227043727,23.9257983208,23.9604674873,23.982772687,23.9409348942,20.9587275032
 01/04  07:00:00,5.4583333333,0,0,21.6347278257,23.3323560183,23.6813188882,23.78767335,23.8198610256,23.8452855413,23.7970535103,20.690974447
 01/04  08:00:00,5.9916666667,0.875,58.3333333333,21.9159345907,23.571825213,23.9493681038,24.024635912,24.0862160433,24.0809568737,24.0583210341,20.9729143597
 01/04  09:00:00,7.6333333333,3.0166666667,53.3333333333,23.6351114903,25.2839246712,25.6534873584,25.7370764911,25.7917534449,25.7941456649,25.7599154023,23.6802164083
 01/04  10:00:00,8.65,4.1,14.1666666667,23.9630386891,25.6265423931,25.9886821145,26.0886893255,26.1334453624,26.1502389603,26.0985637307,24.6410641005
 01/04  11:00:00,8.9,3.5166666667,10,24.3819048023,26.0520400054,26.4305632556,26.5285577963,26.584337109,26.5951645923,26.5471378573,25.6126886721
 01/04  12:00:00,9.5416666667,2.5166666667,21.6666666667,24.8301770205,26.5292381095,26.9120313724,27.0184269482,27.0723141266,27.0892072753,27.0320547096,26.6687789346
 01/04  13:00:00,10.35,1.75,18.3333333333,25.3249280744,27.0109681082,27.4114873209,27.5088963748,27.5775903112,27.5840224652,27.5360266188,27.6311990105
 01/04  14:00:00,10.6,0.625,4.1666666667,26.7255137761,28.4141465544,28.8273887626,28.9291700842,29.0040517071,29.0128079253,28.9413669943,30.1510640873
 01/04  15:00:00,10.25,1.225,11.6666666667,26.8126278751,28.4986045018,28.88076655,29.0045525111,29.0546047834,29.0867395582,28.995640193,30.6025292996
 01/04  16:00:00,10.35,2.3916666667,14.1666666667,26.4386293099,28.1153519182,28.4788301415,28.6061707493,28.64346115,28.6808171318,28.5917627126,29.8900674706
 01/04  17:00:00,10.25,1.0833333333,4.1666666667,24.6471514368,26.3404281277,26.6808144635,26.8201817807,26.8357420645,26.8882707044,26.7836479155,26.9500261658
 01/04  18:00:00,10,0,0,23.7381082502,25.4123198114,25.7708621315,25.8880643189,25.9225991355,25.9538192514,25.869509211,25.1828657042
 01/04  19:00:00,9.65,0,0,23.301527644,24.9751560793,25.3332435432,25.4477145741,25.4826415682,25.5116566798,25.4303068024,24.2917421757
 01/04  20:00:00,9.4,0,0,22.9597144944,24.6327593998,24.9910996074,25.1029630209,25.1387592355,25.1655140158,25.0875216013,23.585420192
 01/04  21:00:00,9.1083333333,0.875,40.8333333333,22.6813523998,24.3519458555,24.7084315322,24.8187983859,24.8537581322,24.8795276273,24.8028716546,23.0007602485
 01/04  22:00:00,8.9,1.5,40.8333333333,22.4435156873,24.1086220727,24.464031436,24.5718225476,24.6069185609,24.630616916,24.5556047661,22.4954251128
 01/04  23:00:00,7.9083333333,2.1416666667,84.1666666667,22.1707204555,23.833433587,24.1845977135,24.2936196508,24.325417178,24.3507713202,24.2730277253,21.9777780697
 01/04  24:00:00,7.8416666667,2.8916666667,264.1666666667,21.9404256772,23.5929297403,23.9458382219,24.0500431984,24.0846545481,24.1056087756,24.0304856343,21.5122463775
 01/05  01:00:00,8.0083333333,2.5166666667,155.8333333333,21.7922753583,23.4407291644,23.7917394433,23.8965740881,23.9297612376,23.9514645382,23.8737170117,21.1976139709
 01/05  02:00:00,7.8,2.1,15.8333333333,21.6058326017,23.2486156936,23.599584612,23.7036108505,23.7369754643,23.7579387803,23.6783576312,20.8430013117
 01/05  03:00:00,6.1666666667,0.875,8.3333333333,21.3234182924,22.9663091604,23.3137743073,23.4216384504,23.4512650068,23.4758916357,23.3896949394,20.3801069929
 01/05  04:00:00,4.3583333333,0.875,110.8333333333,20.9643756425,22.6009555577,22.9488833224,23.0559050093,23.085875214,23.1097054572,23.0204414089,19.7922678788
 01/05  05:00:00,4.1916666667,0.625,79.1666666667,20.742409995,22.3677686454,22.7178740708,22.8212953524,22.8539476946,22.8742669594,22.7840353283,19.3798743668
 01/05  06:00:00,4.1083333333,0,0,20.574878572,22.1955322835,22.5455473818,22.6503103848,22.6824511974,22.7038728763,22.6085719836,19.0714560324
 01/05  07:00:00,5.1833333333,1.225,210,20.4743605815,22.0785388405,22.4297766573,22.529999792,22.5645287211,22.5819147495,22.4847229984,18.8497602212
 01/05  08:00:00,6.45,3.2666666667,360,20.8947791697,22.4574710831,22.8285590989,22.90395932,22.9604824161,22.9537496528,22.8743085698,19.3580192567
 01/05  09:00:00,6.9916666667,3.225,360,23.0796035304,24.6236783674,24.9998008581,25.0724451891,25.1346661112,25.1239785659,25.0450438684,22.7575452618
 01/05  10:00:00,7.2,3.1833333333,155.8333333333,23.9149814,25.4800429901,25.8546159568,25.9451969706,26.0010599782,26.0046280117,25.9097623354,24.5804003397
 01/05  11:00:00,7.8416666667,3.6,10,24.7432879397,26.3357815441,26.7109815827,26.8176413818,26.8689182926,26.8814216123,26.7472367632,26.3575515046
 01/05  12:00:00,8.65,3.6,10,24.3579596802,25.9874982738,26.3535736715,26.4737487082,26.5103414366,26.5373587474,26.4088102698,26.1791163768
 01/05  13:00:00,9.1916666667,2.725,15.8333333333,24.6545627185,26.248910152,26.6452441133,26.7383793058,26.8026534751,26.8026927898,26.6830888441,26.6474558691
 01/05  14:00:00,10.1,2.1,218.3333333333,26.5304290594,28.1370163246,28.5526476543,28.6493293316,28.722680488,28.7237263912,28.5961008534,30.1039693482
 01/05  15:00:00,10.8916666667,2.975,360,28.515538898,30.0972404628,30.5039701862,30.6091883654,30.6777927383,30.6874769674,30.5530844306,33.9894709136
 01/05  16:00:00,10.4583333333,2.725,360,29.0792786307,30.6619205676,31.0263075685,31.1561152996,31.1933931799,31.2268385513,31.0654870803,35.3151705596
 01/05  17:00:00,10.35,0.875,150,26.2146031269,27.828668149,28.14657908,28.3078230562,28.3019783183,28.3715958284,28.1786536687,30.2798805759
 01/05  18:00:00,9.9,0.875,17.5,24.4537231319,26.0327585414,26.3843000383,26.5052232182,26.5334260154,26.5646942364,26.420941501,26.8718860887
 01/05  19:00:00,9.1083333333,0.625,12.5,23.7263305185,25.3071740499,25.6588488164,25.7753289462,25.8048959186,25.8322976867,25.6949117203,25.4757093028
 01/05  20:00:00,8.9,0,0,23.2206035343,24.8079549231,25.1613970555,25.2752669776,25.3066791403,25.3314940972,25.2006747506,24.4817451392
 01/05  21:00:00,8.2583333333,0.875,87.5,22.7952541735,24.3857910907,24.7370463567,24.8495886092,24.8798788658,24.903809022,24.776870627,23.635972088
 01/05  22:00:00,8.0916666667,1.85,68.3333333333,22.4577019526,24.0455375121,24.3968584174,24.5051599396,24.5369564567,24.5571387237,24.4361609533,22.9306190413
